;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Budget Line #;;Activity ID;Module;Intervention;Activity;Cost input;UNDP Budget account;Measurement unit;Unit cost;Q1 quantity; Q1 amount ;Q2 quantity; Q2 amount ;Q3 quantity; Q3 amount ;Q4 quantity; Q4 amount ; Amount Total ;;;;;
32;;73;Gestión de casos;Tratamiento en establecimientos de salud;"Diplomado en ""Detección, investigación y control de brotes epidémicos y eventos de importancia para la salud pública"" ";2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71620;USD;1.820,30;0,00; -   ;0,00; -   ;1,00; 1.820,30 ;0,00; -   ; 1.820,30 ;;;;;
33;;73;Gestión de casos;Tratamiento en establecimientos de salud;"Diplomado en ""Detección, investigación y control de brotes epidémicos y eventos de importancia para la salud pública"" ";2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;75705;USD;410,52;0,00; -   ;0,00; -   ;1,00; 410,52 ;0,00; -   ; 410,52 ;;;;;
34;;78;SSRS: fortalecimiento de los sistemas comunitarios;Capacitación y desarrollo del liderazgo;Diseño de materiales educativos y ejecución del programa de formación en modalidad presencial, priorizando temáticas de epidemiología-atención de la malaria, gestión social-políticas públicas y liderazgo para la incidencia política, dirigidos a miembros de las OSC;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71610;USD;2.534,01;0,00; -   ;0,00; -   ;1,00; 2.534,01 ;0,00; -   ; 2.534,01 ;;;;;
35;;78;SSRS: fortalecimiento de los sistemas comunitarios;Capacitación y desarrollo del liderazgo;Diseño de materiales educativos y ejecución del programa de formación en modalidad presencial, priorizando temáticas de epidemiología-atención de la malaria, gestión social-políticas públicas y liderazgo para la incidencia política, dirigidos a miembros de las OSC;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71620;USD;16.018,18;0,00; -   ;0,00; -   ;1,00; 16.018,18 ;0,00; -   ; 16.018,18 ;;;;;
36;;78;SSRS: fortalecimiento de los sistemas comunitarios;Capacitación y desarrollo del liderazgo;Diseño de materiales educativos y ejecución del programa de formación en modalidad presencial, priorizando temáticas de epidemiología-atención de la malaria, gestión social-políticas públicas y liderazgo para la incidencia política, dirigidos a miembros de las OSC;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;75705;USD;3.608,21;0,00; -   ;0,00; -   ;1,00; 3.608,21 ;0,00; -   ; 3.608,21 ;;;;;
37;;87;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Elaboración de materiales comunicacionales, difusión de las estrategias comunicacionales y evaluación de resultados de las mismas, integrado al ECM del MSyD;10.1 Material impreso (formularios, libros, directrices, folletos,…);74210;USD;1.404,89;0,00; -   ;1,00; 1.404,89 ;0,00; -   ;0,00; -   ; 1.404,89 ;;;;;
38;;88;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Elaboración de materiales comunicacionales, difusión de las estrategias comunicacionales y evaluación de resultados de las mismas, integrado al ECM del MSyD;10.2 Programas y espacios publicitarios en radio y televisión;74205;USD;4.878,10;0,00; -   ;1,00; 4.878,10 ;0,00; -   ;0,00; -   ; 4.878,10 ;;;;;
39;;89;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Elaboración de materiales comunicacionales, difusión de las estrategias comunicacionales y evaluación de resultados de las mismas, integrado al ECM del MSyD;10.3 Material promocional (camisetas, tazas, pins,…) y otros costos relacionados con el material de comunicación y publicaciones;72315;USD;208,14;0,00; -   ;1,00; 208,14 ;0,00; -   ;0,00; -   ; 208,14 ;;;;;
40;;90;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Participación de las OSC en las campañas de entrega de mosquiteros a población general y población de zafra de castaña.;10.1 Material impreso (formularios, libros, directrices, folletos,…);74210;USD;3.824,44;0,00; -   ;0,32; 1.223,95 ;0,34; 1.300,25 ;0,34; 1.300,25 ; 3.824,44 ;;;;;
41;;91;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Participación de las OSC en las campañas de entrega de mosquiteros a población general y población de zafra de castaña.;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71610;USD;2.891,92;0,00; -   ;0,32; 925,51 ;0,34; 983,21 ;0,34; 983,21 ; 2.891,92 ;;;;;
42;;91;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Participación de las OSC en las campañas de entrega de mosquiteros a población general y población de zafra de castaña.;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71620;USD;5.233,76;0,00; -   ;0,32; 1.674,98 ;0,34; 1.779,39 ;0,34; 1.779,39 ; 5.233,76 ;;;;;
43;;92;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Participación sostenida de representantes de OSC en Comités de Análisis de Información al año, con información previamente analizada y con propuestas de las OSC. (participación);2.6 Viáticos, transporte u otros costos relacionados con las encuestas o la recopilación de datos;71610;USD;1.124,71;0,00; -   ;0,50; 562,36 ;0,50; 562,36 ;0,00; -   ; 1.124,71 ;;;;;
44;;92;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Participación sostenida de representantes de OSC en Comités de Análisis de Información al año, con información previamente analizada y con propuestas de las OSC. (participación);2.6 Viáticos, transporte u otros costos relacionados con las encuestas o la recopilación de datos;71620;USD;2.564,66;0,00; -   ;0,50; 1.282,33 ;0,50; 1.282,33 ;0,00; -   ; 2.564,66 ;;;;;
45;;94;Gestión de casos;Gestión integrada de casos comunitarios;Generar espacios de discusión para el análisis epidemiológico de la malaria a nivel de los seis municipios que concentran el 90% de casos de malaria (CAI Municipal de malaria), de manera trimestral y con la participación de las OSC.  Participar la OSC del lugar en los 6 municipios, los responsables ;2.6 Viáticos, transporte u otros costos relacionados con las encuestas o la recopilación de datos;75705;USD;7.032,18;0,00; -   ;0,50; 3.516,09 ;0,50; 3.516,09 ;0,00; -   ; 7.032,18 ;;;;;
46;;99;SSRS: sistemas de financiamiento de la salud;Abogacía dirigida por la comunidad y monitoreo de la movilización de recursos nacionales;Reuniones de coordinación y organización de la instancia de coordinación del Plan de Fortalecimiento y de apoyo a la gestión de las OSC.;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71610;USD;1.188,96;0,00; -   ;1,00; 1.188,96 ;0,00; -   ;0,00; -   ; 1.188,96 ;;;;;
47;;99;SSRS: sistemas de financiamiento de la salud;Abogacía dirigida por la comunidad y monitoreo de la movilización de recursos nacionales;Reuniones de coordinación y organización de la instancia de coordinación del Plan de Fortalecimiento y de apoyo a la gestión de las OSC.;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;1.766,76;0,00; -   ;1,00; 1.766,76 ;0,00; -   ;0,00; -   ; 1.766,76 ;;;;;
48;;99;SSRS: sistemas de financiamiento de la salud;Abogacía dirigida por la comunidad y monitoreo de la movilización de recursos nacionales;Reuniones de coordinación y organización de la instancia de coordinación del Plan de Fortalecimiento y de apoyo a la gestión de las OSC.;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;788,15;0,00; -   ;1,00; 788,15 ;0,00; -   ;0,00; -   ; 788,15 ;;;;;
49;;102;SSRS: sistemas de gestión de productos sanitarios;Capacidad, diseño y operaciones de almacenamiento y distribución;Seguimiento trimestral y multinivel al nivel de existencia y reabastecimiento en zonas de intervención, reservas suficientes de stock de insumos y medicamentos en almacenes de campo, para garantizar la distribución sea más ágil hacia zonas poco accesibles, como parte de las supervisiones integrales ;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71620;USD;4.869,50;0,00; -   ;0,33; 1.623,17 ;0,33; 1.623,17 ;0,33; 1.623,17 ; 4.869,50 ;;;;;
50;;102;SSRS: sistemas de gestión de productos sanitarios;Capacidad, diseño y operaciones de almacenamiento y distribución;Seguimiento trimestral y multinivel al nivel de existencia y reabastecimiento en zonas de intervención, reservas suficientes de stock de insumos y medicamentos en almacenes de campo, para garantizar la distribución sea más ágil hacia zonas poco accesibles, como parte de las supervisiones integrales ;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;72311;USD;4.287,85;0,00; -   ;0,33; 1.429,28 ;0,33; 1.429,28 ;0,33; 1.429,28 ; 4.287,85 ;;;;;
51;;103;SSRS: sistemas de gestión de productos sanitarios;Capacidad, diseño y operaciones de almacenamiento y distribución;Fortalecimiento de los almacenes de dos programas regionales de malaria (Riberalta y Guayaramerín), un programa departamental (Pando) y la unidad técnica operativa (UTO) del Ministerio de Salud, en el mantenimiento preventivo de la infraestructura, dotación de aires acondicionados 1 por lugar, estan;11.1 Costos relacionados con oficinas;73105;USD;23.414,88;0,00; -   ;0,33; 7.804,96 ;0,33; 7.804,96 ;0,33; 7.804,96 ; 23.414,88 ;;;;;
52;;107;SSRS: sistemas de monitoreo y evaluación;Informes rutinarios;Implementación de salas situacionales de análisis y evaluación de manera permanente y sistemática la información de malaria generada, implementados en servicios de malaria en las 7 coordinaciones de red de salud del área de intervención del proyecto (Red 1, 2, 3 de Pando, Red 6, 7 y 8 del Beni y Red;10.1 Material impreso (formularios, libros, directrices, folletos,…);74210;USD;1.384,59;0,00; -   ;1,00; 1.384,59 ;0,00; -   ;0,00; -   ; 1.384,59 ;;;;;
53;;109;Gestión de casos;Intensificación de las actividades para la eliminación;Conformación de los comités locales de vigilancia epidemiológica en 6 municipios que concentran el 90% de casos en malaria;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71610;USD;1.255,04;0,00; -   ;1,00; 1.255,04 ;0,00; -   ;0,00; -   ; 1.255,04 ;;;;;
